gen,nevals,Avg,Std,Min,MinTotal,Max
763,69,11.45,54.12640298412598,6.0,7200.0,550.0
764,44,16.85,75.87863665090458,6.0,7200.0,548.0
765,47,16.91,108.05101526593815,6.0,7200.0,1092.0
766,54,27.75,106.34908321184533,6.0,7200.0,550.0
767,38,6.02,0.19899748742132398,6.0,7200.0,8.0
768,67,38.61,149.97359067515856,6.0,7200.0,1092.0
769,56,11.52,53.92225514571881,6.0,7200.0,548.0
770,64,27.8,106.44106350464561,6.0,7200.0,550.0
771,50,11.48,53.92299694935362,6.0,7200.0,548.0
772,58,11.52,54.120879519830424,6.0,7200.0,550.0
773,47,16.93,75.94079996944991,6.0,7200.0,551.0
774,49,17.01,76.14348232120723,6.0,7200.0,552.0
775,54,6.1,0.5385164807134505,6.0,7200.0,10.0
776,49,22.29,161.88250646688172,6.0,7200.0,1633.0
777,51,11.55,54.0174740246154,6.0,7200.0,549.0
778,53,6.04,0.2416609194718914,6.0,7200.0,8.0
779,43,6.06,0.3104834939252005,6.0,7200.0,8.0
780,51,16.89,76.15916162878897,6.0,7200.0,552.0
781,50,22.32,161.87963923854042,6.0,7200.0,1633.0
782,56,6.02,0.3458323293158118,5.0,6000.0,9.0
783,53,11.5,53.822021515361165,5.0,6000.0,547.0
784,61,11.49,54.22370238189201,5.0,6000.0,551.0
785,58,16.87,75.87643310013985,5.0,6000.0,548.0
786,58,22.23,92.4646802838792,5.0,6000.0,549.0
787,52,27.47,106.45923679981928,5.0,6000.0,551.0
788,55,16.15,107.82656212640741,5.0,6000.0,1089.0
789,61,21.37,92.73302054823839,5.0,6000.0,550.0
790,51,10.51,54.1214366032536,5.0,6000.0,549.0
791,49,5.1,0.5196152422706632,5.0,6000.0,9.0
792,58,5.03,0.2628687885618983,4.0,4800.0,7.0
793,54,21.28,120.45813214557165,4.0,4800.0,1093.0
794,62,15.67,75.90600173899294,4.0,4800.0,547.0
795,53,4.47,0.6550572494064928,4.0,4800.0,7.0
796,62,20.38,92.43773904634408,4.0,4800.0,546.0
797,62,4.1,0.479583152331272,4.0,4800.0,7.0
798,55,20.32,92.44835098583424,4.0,4800.0,546.0
799,53,14.93,76.01082225578146,4.0,4800.0,548.0
800,55,20.3,92.62726380499424,4.0,4800.0,548.0
801,52,14.88,75.94607033941912,4.0,4800.0,547.0
802,57,4.04,0.31368774282716244,4.0,4800.0,7.0
803,61,14.9,75.87285417064524,4.0,4800.0,548.0
804,60,9.47,54.024152931813774,4.0,4800.0,547.0
805,65,36.56,128.8342594188363,4.0,4800.0,548.0
806,42,31.18,118.24587772941604,4.0,4800.0,548.0
807,66,25.8,152.10042734982702,4.0,4800.0,1091.0
808,56,14.94,76.0098440993007,4.0,4800.0,548.0
809,57,9.44,54.0269044088221,4.0,4800.0,547.0
810,45,14.92,75.86931922720804,4.0,4800.0,546.0
811,63,14.96,76.07902733342482,4.0,4800.0,549.0
812,54,15.01,76.21436806796999,4.0,4800.0,549.0
813,58,31.17,118.24804903253164,4.0,4800.0,547.0
814,53,14.94,75.93837238182023,4.0,4800.0,547.0
815,48,9.42,53.92831909117881,4.0,4800.0,546.0
816,61,25.82,106.3865010233911,4.0,4800.0,549.0
817,60,14.87,76.01876807736363,4.0,4800.0,548.0
818,61,4.04,0.19595917942265426,4.0,4800.0,5.0
819,55,25.77,131.2553888417538,4.0,4800.0,1090.0
820,45,14.85,75.9500329163852,4.0,4800.0,547.0
821,54,4.01,0.09949874371066199,4.0,4800.0,5.0
822,49,9.43,53.92740583413966,4.0,4800.0,546.0
823,63,9.47,53.92410499952691,4.0,4800.0,546.0
824,46,9.48,54.424898713732105,4.0,4800.0,551.0
825,50,20.34,92.62086374030423,4.0,4800.0,549.0
826,56,9.51,54.021013504006014,4.0,4800.0,547.0
827,57,14.88,75.94607033941912,4.0,4800.0,547.0
828,58,9.51,54.021383729038256,4.0,4800.0,547.0
829,53,36.64,168.58128721776924,4.0,4800.0,1090.0
830,59,20.41,92.8436422163629,4.0,4800.0,550.0
831,49,14.9,75.87206336985967,4.0,4800.0,546.0
832,49,4.07,0.38091993909481814,4.0,4800.0,7.0
833,55,9.5,54.12254613375095,4.0,4800.0,548.0
834,53,31.19,141.14522273176658,4.0,4800.0,1091.0
835,53,9.48,53.92355329538288,4.0,4800.0,546.0
